sentenceid,scale,codeCrowd,NcodedCrowd,NCrowd,SECrowd,goldCrowd,codeExperts,NcodedExperts,NExperts,SEExperts,codeSemiExperts,NcodedSemiExperts,NSemiExperts,SESemiExperts,manifestoid,party,year
10000821,None,,0,0,,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000821,Economic,.70588237,17,897,.022398766,nongold,1.375,8,779,.029833695,,,,,Con 1987,Conservatives,1987
10000831,None,,0,0,,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000831,Economic,.75,16,897,.022398766,nongold,1.5,6,779,.029833695,,,,,Con 1987,Conservatives,1987
10000831,Social,.33333334,3,783,.029228823,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000841,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000841,Economic,.75,8,897,.022398766,nongold,1.8,5,779,.029833695,,,,,Con 1987,Conservatives,1987
10000841,Social,.42857143,7,783,.029228823,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000851,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000851,Economic,-.80000001,5,897,.022398766,nongold,-1.2,5,779,.029833695,,,,,Con 1987,Conservatives,1987
10000851,Social,-.5714286,7,783,.029228823,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000861,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000861,Economic,-1,1,897,.022398766,nongold,0,1,779,.029833695,,,,,Con 1987,Conservatives,1987
10000861,Social,-.27272728,11,783,.029228823,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000871,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000871,Social,1.1764706,17,783,.029228823,nongold,1.5,4,215,.057679296,,,,,Con 1987,Conservatives,1987
10000881,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000881,Economic,1.3684211,19,897,.022398766,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000881,Social,.86956519,23,783,.029228823,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000891,None,,0,0,,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000891,Economic,1.3333334,15,897,.022398766,nongold,1.375,8,779,.029833695,,,,,Con 1987,Conservatives,1987
10000891,Social,1,1,783,.029228823,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000901,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000901,Economic,1.2131147,122,897,.022398766,nongold,1.75,8,779,.029833695,,,,,Con 1987,Conservatives,1987
10000901,Social,0,15,783,.029228823,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000911,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000911,Economic,0,10,897,.022398766,nongold,.875,8,779,.029833695,,,,,Con 1987,Conservatives,1987
10000911,Social,1.6,5,783,.029228823,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000921,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000921,Economic,.80000001,10,897,.022398766,nongold,1,3,779,.029833695,,,,,Con 1987,Conservatives,1987
10000921,Social,.25,4,783,.029228823,nongold,0,1,215,.057679296,,,,,Con 1987,Conservatives,1987
